site_id,n_total,n_train,n_val,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,val_loss,test_loss,epoch
SITE363,45,30,5,10,2,17,0.5,0.5,-0.862244725227356,2.5999999046325684,3.8209946155548096,2.040012001991272,1.2774842977523804,1.7215439081192017,2
SITE366,44,27,5,12,1,16,0.4166666567325592,0.5,-1.0578513145446777,2.6666667461395264,3.7193188667297363,7.463078618049622,0.7636062502861023,2.6954269409179688,1
SITE367,32,20,4,8,1,16,0.625,0.625,-0.5845410823822021,1.375,2.2638463973999023,4.862987279891968,5.543216502701398e-06,6.136499404907227,1
SITE375,25,14,4,7,3,18,0.4285714328289032,0.5714285969734192,-0.807692289352417,3.0,4.48807954788208,2.259772300720215,2.14490008354187,1.6716259717941284,3
SITE376,35,19,6,10,3,18,0.30000001192092896,0.4000000059604645,-1.4100720882415771,2.799999952316284,3.6606009006500244,1.9129462242126465,1.6143519878387451,1.7226871252059937,3
SITE377,50,25,8,17,2,17,0.23529411852359772,0.4117647111415863,-1.5053589344024658,3.117647171020508,4.021998405456543,2.8227797746658325,1.6249606609344482,3.250188946723938,2
SITE380,32,20,4,8,6,21,0.375,0.375,-1.2425446510314941,3.125,4.198214054107666,2.054777443408966,2.1966586112976074,1.8216047286987305,6
SITE385,34,20,5,9,2,17,0.2222222238779068,0.6666666865348816,-0.35798823833465576,1.8888888359069824,2.3804759979248047,3.80562961101532,1.5270344018936157,1.9633136987686157,2
SITE386,43,25,5,13,3,18,0.38461539149284363,0.4615384638309479,-1.2612552642822266,3.307692289352417,4.42892599105835,1.473025381565094,1.7828800678253174,2.5092976093292236,3
SITE388,20,12,2,6,1,16,0.3333333432674408,0.5,-1.049689531326294,2.1666667461395264,3.0276503562927246,2.2978882789611816,2.2291855202638544e-05,10.366630554199219,1
SITE389,48,30,7,11,39,54,0.5454545617103577,0.6363636255264282,-2.002293586730957,1.9090908765792847,3.289100408554077,0.8776444494724274,0.006586568895727396,2.442830801010132,39
SITE397,58,33,9,16,2,17,0.1875,0.5625,-1.5806450843811035,2.625,3.3541018962860107,2.605628728866577,2.7584991455078125,2.3588573932647705,2
